,id,full_text,favorites,retweets,created_at
0,1550552619554410496,"Billion dollar private equity firms are buying up family homes and exacerbating the housing affordability crisis. And with the Fed hiking interest rates, big investors continue to profit while working people struggle.
 
We need to build more housing and loosen PE's stranglehold. https://t.co/PPh4ThIDZu",345,110,2022-07-22 18:45:27+00:00
1,1550147048011431937,"Russia didn’t make the Fed keep interest rates too low for too long
Or make the Fed build their balance sheet to $9 trillion
Russia didn’t make Biden cancel oil + gas leases, keep red tape in place, cancel a pipeline project or direct capital away from traditional energy projects",424,114,2022-07-21 15:53:51+00:00
2,1550215368932728835,The Fed is jacking up interest rates to squeeze the life out of the labor market because workers are apparently making too much money and causing a wage-price spiral. But the CEO-salary-price spiral remains undefeated https://t.co/mWWgiHJ9GE,157,40,2022-07-21 20:25:20+00:00
3,1550554192808316928,"Top economist Mohamed El-Erian shifts stance on inflation and now thinks it has peaked as recession looms https://t.co/CGBbeYeAdW I agree I think higher interest rates due to the Fed tightening the money supply, but recession is coming.",0,0,2022-07-22 18:51:42+00:00
4,1550554149888135170,"All the signs are pointing to a recession📉 This makes it all the more painful when the Fed has to robustly hike interest rates📈 to combat the inflation that IT &amp; Biden's overspending have created. The stockmarket will be damaged the most. See Tweets👆

https://t.co/yqhR0IUTqB",0,0,2022-07-22 18:51:31+00:00
5,1550553904391356422,"@DCDOWORK Look at the global macro situation and you will understand what is happening.  The world order is changing, the cycle is changing and if the Fed intends to cut interest rates then we will end up with a much bigger and more lasting problem. Time of free money is over. My opinion",0,0,2022-07-22 18:50:33+00:00
6,1550553073931649026,@SquawkCNBC @elerianm This is completely wrong.  Interest rates are less than 2% against a real inflation close to 20% and the recession won’t lower prices.  The FED is still expanding the money supply the Federal government is running record trillion dollar deficits / that’s all INFLATIONARY! Wake up,0,0,2022-07-22 18:47:15+00:00
7,1550552944314945536,"@rovercrc It won't hit $25,000, there'll be a big pullback Monday in response to the FED increasing interest rates. But I'm sure you'll pick up a couple followers with your Tweet. LOL",0,0,2022-07-22 18:46:44+00:00
8,1550552619554410496,"Billion dollar private equity firms are buying up family homes and exacerbating the housing affordability crisis. And with the Fed hiking interest rates, big investors continue to profit while working people struggle.
 
We need to build more housing and loosen PE's stranglehold. https://t.co/PPh4ThIDZu",345,110,2022-07-22 18:45:27+00:00
9,1550552611878748160,"@NorthmanTrader But they are not tightening. The Fed's balance sheet didn't go down much. Yes the interest rates are up a bit, but far too little to be significant. For the ECB it's even worse. Their printing presses are full on, to prevent 'fragmentation' and interest rates are still zero.",0,0,2022-07-22 18:45:25+00:00
10,1550552312401248257,Robust federal action drove a rapid recovery from the deepest recession on record. The Fed’s response could put that all at risk. And it's signaling plans to further hike interest rates. 4/,0,0,2022-07-22 18:44:13+00:00
11,1550552088165228544,"@SantiagoAuFund Energy security for Europe, Ukraine War would keep inflation elevated

And so interest rates &amp; DXY elevated

Meanwhile fed would keep infusing trillions to support economy, market would remain enough liquidated

Kind of persistent stagflation we might see in near future",0,0,2022-07-22 18:43:20+00:00
12,1550551352832675840,"@UrsTrulyButch @GazetteNGR The Fed say interest rate hike might come nxt month or September, however,if rate is increased BTC will fall but not too sure it will go below $20k",0,0,2022-07-22 18:40:25+00:00
13,1550550829018468353,"@joncoopertweets Thank the Veterans who sent the FBI not Biden calling it his ""win"" as ENERGY HEDGE FUNDS are taking natural gas sky high to make a buck today! All Biden does about gas is lie and have his FED raise interest rates hurting the USA! Biden should resign for the good of the nation!",0,0,2022-07-22 18:38:20+00:00
14,1550550485601583106,"@aleksa_crypto @CryptoJobs If you attribute this to the fed meeting, you are right, but if you do not have graphic data and there is no clear news, a lot can be talked about after the fed interest rate decision. 🐻👀 🐂",1,0,2022-07-22 18:36:58+00:00
15,1550146990251675649,"After two years of near-zero interest rates, the Fed’s policy pivot has changed the market outlook. We break down potential portfolio impacts.",4,4,2022-07-21 15:53:37+00:00
16,1550146947285102593,"@1ThousandArrows You read Silent Weapons for Secret Wars? They found this document in an IBM copier, it shows they manipulate market so they can profit, the fed interest rates is one of their tools https://t.co/VlkAzu4hCV",0,0,2022-07-21 15:53:27+00:00
17,1550146892390174722,"$USD

🇺🇸

📰 Event: Fed Interest Rate Decision 

⚠️ Importance: High 🔥🔥🔥 
⌚ When: 2022-07-27 19:00 GMT 
⏳ In: 6d, 2h, 41m 

#audusd #btcusd #eurusd #gbpusd #nzdusd #usdcad #usdchf #usdjpy #xagusd #xauusd #xptusd 

#trading #forex #USD #news #trends",0,0,2022-07-21 15:53:14+00:00
18,1550145521389412353,@StewartButton To be fair Fed funds are still sub 2% at this point. Not exactly crippling interest.,1,0,2022-07-21 15:47:47+00:00
19,1550144861784915973,"WATCH: The #Fed is trying to tame 9.1% inflation with steep interest rate hikes. Next week it may decide on another 75-bps hike, as chatter continues about a 100-bps at some point. @RealMikeLarson, senior analyst @WeissRatings, weighs in on #recession realities, as fall-out: https://t.co/jJm9wNeIar",3,1,2022-07-21 15:45:10+00:00
20,1550144477255192577,"I think the new term for the Feds actions will be ""transitory"" for everything.  I just wish I knew how long the ""transitory"" recession will be.

 https://t.co/BWqE5zS7hL via @WSJOpinion",0,0,2022-07-21 15:43:38+00:00
21,1550143271116185602,"@MarioNawfal The Fed’s biggest problem-they cannot raise interest rates high enough to stop inflation, as level req’d would effectively bankrupt Government-interest/debt. Therefore they are allowing inflation to lower dollar value (and American standard of living over time). It will fail!",0,0,2022-07-21 15:38:50+00:00
22,1550141929148530688,Bruh. The Fed is getting completely out of hand with these interest rates. OUT OF HAND. — and there’s another expected hike they will be announced at this month’s meeting.,0,0,2022-07-21 15:33:30+00:00
23,1550139975265505280,Philly Fed Manufacturing Outlook Crashes to Worst Level Since 1979: The Philly Fed's manufacturing index plunges even deeper into negative territory as high prices destroy demand and interest rates rise. https://t.co/BgEDmKzVVf,0,0,2022-07-21 15:25:44+00:00
24,1550138807302889473,@YusufAizen The only fundamentals I worry about is Interest rates and the Fed speaking 🙂,1,0,2022-07-21 15:21:06+00:00
25,1550138061534920705,"This economic date will repeat.

Growth --&gt; negative
Inflation --&gt; stays high

How can this be?  Because supply shortages cannot be fixed with $$$ policy like raising interest rates.  The Fed can only reduce demand...by thinning the herd.

You are the herd.",17,2,2022-07-21 15:18:08+00:00
26,1550137376160333825,"Local gov is taxing to much, fed gov is taxing to much and most gov from local to fed just don't care.  Between property taxes, education taxes, state taxes, sales taxes, fed taxes, higher interest rates, high inflation, it squeezing most Americans poor and middle class the most.",1,0,2022-07-21 15:15:25+00:00
27,1550137370544115712,"@Crypto_Tolkien @scottmelker If the fed reverses we will see more inflation lol ... in fact 2,5 of interest rates is below of 9% of inflation lol",0,0,2022-07-21 15:15:23+00:00
